state_history,actions
"[[None, None], [None, None], [None, None], [48.0, -12.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [48.0, -12.0], [47.0, -12.0]]","[0.0, 0.0]"
"[[None, None], [48.0, -12.0], [47.0, -12.0], [47.0, -11.0]]","[0.0, 0.0]"
"[[48.0, -12.0], [47.0, -12.0], [47.0, -11.0], [46.0, -10.0]]","[0.0, 0.0]"
"[[47.0, -12.0], [47.0, -11.0], [46.0, -10.0], [46.0, -10.0]]","[0.0, 0.0]"
"[[47.0, -11.0], [46.0, -10.0], [46.0, -10.0], [46.0, -9.0]]","[0.0, 0.0]"
"[[46.0, -10.0], [46.0, -10.0], [46.0, -9.0], [45.0, -9.0]]","[0.0, 0.0]"
"[[46.0, -10.0], [46.0, -9.0], [45.0, -9.0], [45.0, -9.0]]","[0.0, 0.0]"
"[[46.0, -9.0], [45.0, -9.0], [45.0, -9.0], [44.0, -9.0]]","[0.0, 0.0]"
"[[45.0, -9.0], [45.0, -9.0], [44.0, -9.0], [44.0, -9.0]]","[0.0, 0.0]"
"[[45.0, -9.0], [44.0, -9.0], [44.0, -9.0], [44.0, -9.0]]","[0.0, 0.0]"
"[[44.0, -9.0], [44.0, -9.0], [44.0, -9.0], [43.0, -9.0]]","[0.0, 0.0]"
"[[44.0, -9.0], [44.0, -9.0], [43.0, -9.0], [43.0, -9.0]]","[0.0, 0.0]"
"[[44.0, -9.0], [43.0, -9.0], [43.0, -9.0], [42.0, -10.0]]","[0.0, 0.0]"
"[[43.0, -9.0], [43.0, -9.0], [42.0, -10.0], [42.0, -10.0]]","[0.0, 0.0]"
"[[43.0, -9.0], [42.0, -10.0], [42.0, -10.0], [42.0, -11.0]]","[0.0, 0.0]"
"[[42.0, -10.0], [42.0, -10.0], [42.0, -11.0], [41.0, -12.0]]","[0.0, 0.0]"
"[[42.0, -10.0], [42.0, -11.0], [41.0, -12.0], [41.0, -12.0]]","[0.0, 0.0]"
"[[42.0, -11.0], [41.0, -12.0], [41.0, -12.0], [40.0, -13.0]]","[0.0, 0.0]"
"[[41.0, -12.0], [41.0, -12.0], [40.0, -13.0], [40.0, -14.0]]","[0.0, 0.0]"
"[[41.0, -12.0], [40.0, -13.0], [40.0, -14.0], [40.0, -15.0]]","[0.0, 0.0]"
"[[40.0, -13.0], [40.0, -14.0], [40.0, -15.0], [39.0, -16.0]]","[0.0, 0.0]"
"[[40.0, -14.0], [40.0, -15.0], [39.0, -16.0], [39.0, -17.0]]","[0.0, 0.0]"
"[[40.0, -15.0], [39.0, -16.0], [39.0, -17.0], [38.0, -18.0]]","[0.0, 0.0]"
"[[39.0, -16.0], [39.0, -17.0], [38.0, -18.0], [38.0, -19.0]]","[0.0, 0.0]"
"[[39.0, -17.0], [38.0, -18.0], [38.0, -19.0], [38.0, -20.0]]","[0.0, 0.0]"
"[[38.0, -18.0], [38.0, -19.0], [38.0, -20.0], [37.0, -21.0]]","[0.0, 0.0]"
"[[38.0, -19.0], [38.0, -20.0], [37.0, -21.0], [37.0, -22.0]]","[0.0, 0.0]"
"[[38.0, -20.0], [37.0, -21.0], [37.0, -22.0], [36.0, -23.0]]","[0.0, 0.0]"
"[[37.0, -21.0], [37.0, -22.0], [36.0, -23.0], [36.0, -24.0]]","[0.0, 0.0]"
"[[37.0, -22.0], [36.0, -23.0], [36.0, -24.0], [36.0, -25.0]]","[-24.5, 0.0]"
"[[36.0, -23.0], [36.0, -24.0], [36.0, -25.0], [35.0, -26.0]]","[-91.0, -70.0]"
"[[36.0, -24.0], [36.0, -25.0], [35.0, -26.0], [35.0, -26.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [None, None], [48.0, -4.0]]","[0.0, 0.0]"
"[[None, None], [None, None], [48.0, -4.0], [47.0, -3.0]]","[0.0, 0.0]"
